Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
6x6,A*,176,165,165,188,822,844,,
6x6,XMM,108,128,182,233,463,595,,
6x6,A*/XMM,1.63,1.29,0.91,0.81,1.78,1.42,,
6x7,A*,152,169,364,380,3074,4860,,
6x7,XMM,228,312,426,549,1949,3832,,
6x7,A*/XMM,0.67,0.54,0.85,0.69,1.58,1.27,,
6x8,A*,698,853,440,634,11666,18239,28892,52343
6x8,XMM,670,1006,604,1013,5102,10926,17308,41393
6x8,A*/XMM,1.04,0.85,0.73,0.63,2.29,1.67,1.67,1.26
6x9,A*,502,796,9092,14641,6520,12247,18263,39629
6x9,XMM,887,1709,5400,11320,12640,30606,31699,145934
6x9,A*/XMM,0.57,0.47,1.68,1.29,0.52,0.40,0.58,0.27
7x7,A*,644,804,833,1130,7289,12217,16392,29703
7x7,XMM,504,728,1134,1835,4247,8961,8969,19560
7x7,A*/XMM,1.28,1.10,0.73,0.62,1.72,1.36,1.83,1.52
7x8,A*,798,1182,5811,10822,13915,30017,77798,166043
7x8,XMM,1894,3517,6210,14710,10253,35267,92130,350745
7x8,A*/XMM,0.42,0.34,0.94,0.74,1.36,0.85,0.84,0.47
7x9,A*,4072,6899,22263,43989,89797,182533,247116,575083
7x9,XMM,2910,6028,15541,41504,87509,416268,180350,1020047
7x9,A*/XMM,1.40,1.14,1.43,1.06,1.03,0.44,1.37,0.56
8x8,A*,3298,5878,16175,33607,61931,142495,158664,388430
8x8,XMM,2121,4837,10005,26392,48182,295020,111598,556002
8x8,A*/XMM,1.55,1.22,1.62,1.27,1.29,0.48,1.42,0.70
8x9,A*,4929,10305,14185,33082,83826,238770,,
8x9,XMM,3379,7615,23646,73531,76781,543093,,
8x9,A*/XMM,1.46,1.35,0.60,0.45,1.09,0.44,,
9x9,A*,20675,54690,,,,,,
9x9,XMM,17247,57706,,,,,,
9x9,A*/XMM,1.20,0.95,,,,,,
