Grid Size,Algorithm,20% Expansion,20% Time,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
6x6,A*,142,129,238,224,342,330,1315,1557,4656,6106
6x6,XMM,89,97,128,150,241,271,701,932,2376,3615
6x6,A*/XMM,1.60,1.33,1.86,1.49,1.42,1.22,1.88,1.67,1.96,1.69
6x7,A*,140,144,317,346,566,619,4264,6386,7655,11659
6x7,XMM,100,123,264,349,454,578,2052,3383,4683,8485
6x7,A*/XMM,1.40,1.17,1.20,0.99,1.25,1.07,2.08,1.89,1.63,1.37
6x8,A*,260,318,1037,1360,1397,1925,15027,25438,41143,76723
6x8,XMM,124,179,728,1247,848,1302,6216,12890,23012,55188
6x8,A*/XMM,2.10,1.78,1.42,1.09,1.65,1.48,2.42,1.97,1.79,1.39
6x9,A*,579,768,1175,1672,13354,23740,13207,24850,38525,88388
6x9,XMM,353,559,942,1594,5458,13232,12839,36138,36486,131502
6x9,A*/XMM,1.64,1.37,1.25,1.05,2.45,1.79,1.03,0.69,1.06,0.67
7x6,A*,,,,,,,,,,
7x6,XMM,,,,,,,,,,
7x6,A*/XMM,,,,,,,,,,
7x7,A*,276,334,1191,1533,1990,2810,10694,19447,39447,79241
7x7,XMM,157,212,587,867,1448,2296,5192,11124,18949,44409
7x7,A*/XMM,1.76,1.58,2.03,1.77,1.37,1.22,2.06,1.75,2.08,1.78
7x8,A*,444,610,2398,3571,10052,17792,18797,38422,109312,244253
7x8,XMM,290,448,1966,3685,6658,14361,11738,29002,98439,371921
7x8,A*/XMM,1.53,1.36,1.22,0.97,1.51,1.24,1.60,1.32,1.11,0.66
7x9,A*,2204,3523,6894,11900,38403,83860,111788,240149,341870,843436
7x9,XMM,901,1614,2947,6160,16584,45641,88388,385210,218634,1293170
7x9,A*/XMM,2.45,2.18,2.34,1.93,2.32,1.84,1.26,0.62,1.56,0.65
8x6,A*,,,,,,,,,,
8x6,XMM,,,,,,,,,,
8x6,A*/XMM,,,,,,,,,,
8x7,A*,,,,,,,,,,
8x7,XMM,,,,,,,,,,
8x7,A*/XMM,,,,,,,,,,
8x8,A*,1876,2980,5668,10222,30562,66516,103223,254197,245087,686901
8x8,XMM,979,1808,2158,4398,11247,28776,51885,259234,199954,1099535
8x8,A*/XMM,1.92,1.65,2.63,2.32,2.72,2.31,1.99,0.98,1.23,0.62
8x9,A*,2888,5780,9516,20957,19170,46275,162385,497283,,
8x9,XMM,1479,3324,3411,7906,24866,73195,95410,592858,,
8x9,A*/XMM,1.95,1.74,2.79,2.65,0.77,0.63,1.70,0.84,,
9x6,A*,,,,,,,,,,
9x6,XMM,,,,,,,,,,
9x6,A*/XMM,,,,,,,,,,
9x7,A*,,,,,,,,,,
9x7,XMM,,,,,,,,,,
9x7,A*/XMM,,,,,,,,,,
9x8,A*,,,,,,,,,,
9x8,XMM,,,,,,,,,,
9x8,A*/XMM,,,,,,,,,,
9x9,A*,7024,15202,38135,101862,,,,,,
9x9,XMM,3148,7555,17679,55703,,,,,,
9x9,A*/XMM,2.23,2.01,2.16,1.83,,,,,,
