Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
8x8,A*,490,1607,1619,5418,2704,10858,7589,33142
8x8,XMM,495,1953,1477,6309,2558,12091,8231,41388
8x8,A*/XMM,0.99,0.82,1.10,0.86,1.06,0.90,0.92,0.80
8x9,A*,1253,4459,2269,8963,8307,35920,22071,115183
8x9,XMM,1337,6033,2446,12083,8587,46434,22948,139474
8x9,A*/XMM,0.94,0.74,0.93,0.74,0.97,0.77,0.96,0.83
8x10,A*,2088,8594,8679,38248,15500,76983,45738,254589
8x10,XMM,2213,11149,8028,43212,16824,99143,50903,328834
8x10,A*/XMM,0.94,0.77,1.08,0.89,0.92,0.78,0.90,0.77
9x9,A*,2707,11274,5343,27290,15100,79694,49846,286722
9x9,XMM,2563,13748,5062,29833,14422,88859,52407,355004
9x9,A*/XMM,1.06,0.82,1.06,0.91,1.05,0.90,0.95,0.81
9x10,A*,5506,23162,13198,70230,28709,167659,151784,997486
9x10,XMM,5027,29009,13616,86058,32626,223138,156214,1295456
9x10,A*/XMM,1.10,0.80,0.97,0.82,0.88,0.75,0.97,0.77
10x10,A*,10435,52554,39206,221194,98709,638694,,
10x10,XMM,9741,61223,38275,263212,98865,782198,,
10x10,A*/XMM,1.07,0.86,1.02,0.84,1.00,0.82,,
