Grid Size,Algorithm,50% Expansion,50% Time,45% Expansion,45% Time,40% Expansion,40% Time,35% Expansion,35% Time,30% Expansion,30% Time,25% Expansion,25% Time,20% Expansion,20% Time,16% Expansion,16% Time,15% Expansion,15% Time,12% Expansion,12% Time,10% Expansion,10% Time,8% Expansion,8% Time,5% Expansion,5% Time,4% Expansion,4% Time
6x6,A*,17,6,17,7,22,13,32,21,35,27,50,36,138,119,238,224,302,290,342,330,732,800,1315,1557,3430,4159,4656,6106
6x6,XMM,12,7,14,9,15,12,22,19,28,28,38,38,81,84,128,150,154,173,241,271,427,512,701,932,2314,3199,2376,3615
6x6,A*/XMM,1.42,0.86,1.21,0.78,1.47,1.08,1.45,1.11,1.25,0.96,1.32,0.95,1.70,1.42,1.86,1.49,1.96,1.68,1.42,1.22,1.71,1.56,1.88,1.67,1.48,1.30,1.96,1.69
6x7,A*,,,,,,,,,,,,,140,144,317,346,,,566,619,,,4264,6386,,,7655,11659
6x7,XMM,,,,,,,,,,,,,100,123,264,349,,,454,578,,,2052,3383,,,4683,8485
6x7,A*/XMM,,,,,,,,,,,,,1.40,1.17,1.20,0.99,,,1.25,1.07,,,2.08,1.89,,,1.63,1.37
6x8,A*,,,,,,,,,,,,,260,318,1037,1360,,,1397,1925,,,15027,25438,,,41143,76723
6x8,XMM,,,,,,,,,,,,,124,179,728,1247,,,848,1302,,,6216,12890,,,23012,55188
6x8,A*/XMM,,,,,,,,,,,,,2.10,1.78,1.42,1.09,,,1.65,1.48,,,2.42,1.97,,,1.79,1.39
6x9,A*,,,,,,,,,,,,,579,768,1175,1672,,,13354,23740,,,13207,24850,,,38525,88388
6x9,XMM,,,,,,,,,,,,,353,559,942,1594,,,5458,13232,,,12839,36138,,,36486,131502
6x9,A*/XMM,,,,,,,,,,,,,1.64,1.37,1.25,1.05,,,2.45,1.79,,,1.03,0.69,,,1.06,0.67
7x6,A*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7x6,XMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7x6,A*/XMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7x7,A*,24,16,23,35,26,21,30,26,49,49,74,87,255,282,1191,1533,1515,1963,1990,2810,5442,8742,10694,19447,36458,67531,39447,79241
7x7,XMM,16,15,16,32,18,20,25,30,48,64,62,88,177,230,587,867,640,935,1448,2296,2964,5147,5192,11124,16356,38067,18949,44409
