grid number,Direction,Expansions,Time [ms]
0,s -> t,82,270
0,t -> s,22,66
0,XMM,55,238
0,s -> t,27,73
0,t -> s,24,63
0,XMM,62,227
0,s -> t,71,220
0,t -> s,22,63
0,XMM,49,208
0,s -> t,200,610
0,t -> s,200,603
0,XMM,124,473
0,s -> t,32,92
0,t -> s,44,144
0,XMM,41,162
0,s -> t,82,260
0,t -> s,22,66
0,XMM,55,238
0,s -> t,141,448
0,t -> s,140,449
0,XMM,77,317
0,s -> t,123,368
0,t -> s,123,371
0,XMM,89,355
0,s -> t,52,172
0,t -> s,61,194
0,XMM,44,179
0,s -> t,39,133
0,t -> s,39,133
0,XMM,44,194
