Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
5x5,A*,25,62,38,114,70,215,110,398
5x5,XMM,30,110,46,185,64,259,102,465
5x5,A*/XMM,0.83,0.56,0.83,0.62,1.09,0.83,1.08,0.86
5x6,A*,54,177,162,616,95,368,180,769
5x6,XMM,87,395,140,664,275,1372,477,2565
5x6,A*/XMM,0.62,0.45,1.16,0.93,0.35,0.27,0.38,0.30
5x7,A*,68,257,90,364,161,752,585,2936
5x7,XMM,96,479,152,767,432,2346,752,4364
5x7,A*/XMM,0.71,0.54,0.59,0.47,0.37,0.32,0.78,0.67
5x8,A*,178,819,288,1514,383,2084,1815,10738
5x8,XMM,192,1072,365,2236,398,2542,2355,16635
5x8,A*/XMM,0.93,0.76,0.79,0.68,0.96,0.82,0.77,0.65
6x6,A*,156,660,151,702,726,3668,3226,17324
6x6,XMM,108,579,177,954,449,2820,1829,11982
6x6,A*/XMM,1.44,1.14,0.85,0.74,1.62,1.30,1.76,1.45
6x7,A*,139,668,252,1321,2912,17076,3870,25787
6x7,XMM,210,1251,407,2522,1886,13700,2639,20079
6x7,A*/XMM,0.66,0.53,0.62,0.52,1.54,1.25,1.47,1.28
6x8,A*,639,3643,430,2752,10789,76393,25512,206550
6x8,XMM,612,4179,513,3726,4866,43548,16387,161835
6x8,A*/XMM,1.04,0.87,0.84,0.74,2.22,1.75,1.56,1.28
7x7,A*,577,3386,791,5238,6358,47509,15511,130750
7x7,XMM,481,3368,1044,7852,3976,34959,8622,83410
7x7,A*/XMM,1.20,1.01,0.76,0.67,1.60,1.36,1.80,1.57
7x8,A*,785,5576,5520,40502,13169,114330,71963,652366
7x8,XMM,1944,16153,5928,52772,9747,99437,86181,908632
7x8,A*/XMM,0.40,0.35,0.93,0.77,1.35,1.15,0.84,0.72
8x8,A*,2993,22266,15592,137891,55240,572497,142000,1445073
8x8,XMM,1990,17041,8344,87096,46137,545041,103403,1207734
8x8,A*/XMM,1.50,1.31,1.87,1.58,1.20,1.05,1.37,1.20
