grid number,Direction,Expansions,Time [ms]
0,s -> t,"5,397","45,173"
0,t -> s,"5,377","44,298"
0,XMM,"6,833","65,177"
0,s -> t,"5,287","43,013"
0,t -> s,"5,592","48,592"
0,XMM,"6,760","66,945"
0,s -> t,"5,691","52,275"
0,t -> s,"6,027","52,464"
0,XMM,"8,139","81,811"
0,s -> t,"7,080","54,617"
0,t -> s,"7,603","60,441"
0,XMM,"8,840","85,558"
0,s -> t,"4,423","37,452"
0,t -> s,"4,037","35,649"
0,XMM,"5,243","53,351"
0,s -> t,"9,835","78,643"
0,t -> s,"9,993","75,975"
0,XMM,"11,886","114,116"
0,s -> t,"7,251","58,164"
0,t -> s,"8,637","66,638"
0,XMM,"9,952","95,944"
0,s -> t,"3,089","29,421"
0,t -> s,"3,473","33,056"
0,XMM,"7,431","75,522"
0,s -> t,"5,229","43,572"
0,t -> s,"5,869","47,970"
0,XMM,"7,506","70,723"
0,s -> t,"7,803","62,326"
0,t -> s,"5,805","48,190"
0,XMM,"8,891","85,446"
