Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
8x8,A*,391,2592,1242,8023,1889,14701,6108,50466
8x8,XMM,492,4095,1475,12631,2524,23406,8148,79459
8x8,A*/XMM,0.79,0.63,0.84,0.64,0.75,0.63,0.75,0.64
8x9,A*,1029,7368,1790,13222,6687,54742,16700,164248
8x9,XMM,1310,11923,2413,23143,8510,87493,22945,260765
8x9,A*/XMM,0.79,0.62,0.74,0.57,0.79,0.63,0.73,0.63
8x10,A*,1566,12724,6319,54721,12046,121906,37497,392070
8x10,XMM,2159,21507,8023,85522,16808,204502,50861,614726
8x10,A*/XMM,0.73,0.59,0.79,0.64,0.72,0.60,0.74,0.64
9x9,A*,2018,16349,3684,35081,10523,110127,39417,429102
9x9,XMM,2532,25616,5062,55631,14351,175641,52379,651160
9x9,A*/XMM,0.80,0.64,0.73,0.63,0.73,0.63,0.75,0.66
9x10,A*,4008,37295,10202,109412,21118,236286,111329,1319495
9x10,XMM,5027,57908,13620,169153,32394,416839,156172,2084224
9x10,A*/XMM,0.80,0.64,0.75,0.65,0.65,0.57,0.71,0.63
10x10,A*,8652,80103,32503,336275,67004,835324,,
10x10,XMM,9743,112732,37939,473448,98829,1381244,,
10x10,A*/XMM,0.89,0.71,0.86,0.71,0.68,0.60,,
