Grid,Algorithm,8% Expansions,8% Time [ms],12% Expansions,12% Time [ms],16% Expansions,16% Time [ms],20% Expansions,20% Time [ms]
6x6,A*,725,727,150,153,155,135,86,73
6x6,XMM,449,608,177,212,108,126,74,80
6x6,X-DFBnB,730,1049,173,259,158,217,87,111
6x6,BiX-DFBnB,1832,936,251,143,148,82,108,55
6x7,A*,2911,3816,251,305,138,151,73,78
6x7,XMM,1886,2971,407,560,210,280,90,118
6x7,X-DFBnB,2958,5583,261,406,142,214,77,112
6x7,BiX-DFBnB,7668,4687,440,286,200,125,128,95
6x8,A*,10788,15801,428,579,638,783,107,124
6x8,XMM,4866,9353,513,800,612,901,101,152
6x8,X-DFBnB,11139,25590,449,846,677,1168,122,206
6x8,BiX-DFBnB,35278,23710,1178,813,1557,944,143,104
7x7,A*,6357,9841,790,1200,576,806,105,124
7x7,XMM,3976,7287,1044,1777,481,774,126,176
7x7,X-DFBnB,6362,14536,821,1817,598,1187,118,198
7x7,BiX-DFBnB,25518,17920,2656,2049,1454,1016,172,134
7x8,A*,13168,22561,5519,8628,784,1182,199,272
7x8,XMM,9747,19850,5928,11164,1944,3488,210,349
7x8,X-DFBnB,13224,35426,5773,13459,794,1780,216,440
7x8,BiX-DFBnB,84827,67465,19542,14730,2556,1993,447,369
8x8,A*,55239,119239,15591,28426,2992,4927,1707,2761
8x8,XMM,46137,114405,8344,17934,1990,3846,1343,2480
8x8,X-DFBnB,55636,180927,15665,44347,3230,7912,1774,4151
8x8,BiX-DFBnB,418332,354798,76692,70869,8318,6907,5106,3892
