Grid,Algorithm,8% Expansions,8% Time [ms],12% Expansions,12% Time [ms],16% Expansions,16% Time [ms],20% Expansions,20% Time [ms]
6x6,A*,-,-,103999,5707,24952,1203,12282,566
6x6,XMM,-,-,283249,1200963,71246,95678,33722,32527
6x6,X-DFBnB,-,-,97760,19428,23246,4841,11472,2161
6x6,BiX-DFBnB,-,-,193551,38816,56250,11090,22675,4152
6x7,A*,-,-,-,-,131054,7462,21001,1102
6x7,XMM,-,-,-,-,392645,2068683,64956,54206
6x7,X-DFBnB,-,-,-,-,120987,26628,19286,4527
6x7,BiX-DFBnB,-,-,-,-,332826,70562,59979,13311
6x8,A*,-,-,-,-,-,-,74114,4035
6x8,XMM,-,-,-,-,-,-,214930,1957785
6x8,X-DFBnB,-,-,-,-,-,-,69878,18486
6x8,BiX-DFBnB,-,-,-,-,-,-,174060,42616
7x7,A*,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-
7x7,X-DFBnB,-,-,-,-,-,-,-,-
7x7,BiX-DFBnB,-,-,-,-,-,-,-,-
7x8,A*,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-
7x8,X-DFBnB,-,-,-,-,-,-,-,-
7x8,BiX-DFBnB,-,-,-,-,-,-,-,-
8x8,A*,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-
8x8,X-DFBnB,-,-,-,-,-,-,-,-
8x8,BiX-DFBnB,-,-,-,-,-,-,-,-
