Grid,Algorithm,8% Expansions,8% Time [ms],12% Expansions,12% Time [ms],16% Expansions,16% Time [ms],20% Expansions,20% Time [ms]
7x7,A*,552,869,177,288,116,162,83,97
7x7,XMM,843,1632,286,561,168,313,92,168
7x7,X-DFBnB,677,1891,295,717,142,355,102,208
7x7,BiX-DFBnB,37093,60005,8686,13324,3086,4320,1092,1402
7x8,A*,1155,2062,446,949,286,544,117,192
7x8,XMM,1828,3922,704,1747,446,988,134,313
7x8,X-DFBnB,1495,4954,749,2552,387,1217,175,491
7x8,BiX-DFBnB,103303,189641,31816,63452,11786,20538,2649,3549
7x9,A*,921,2173,930,2142,358,605,166,328
7x9,XMM,1584,4366,1512,4066,447,1083,261,652
7x9,X-DFBnB,1581,6520,1189,4797,481,1516,289,850
7x9,BiX-DFBnB,194404,434131,112309,242423,10619,18762,5925,11138
8x8,A*,1888,4499,1241,2502,391,816,206,346
8x8,XMM,3342,9112,1722,4329,601,1502,224,548
8x8,X-DFBnB,3018,11851,1665,5779,475,1732,315,801
8x8,BiX-DFBnB,314016,734838,93625,196386,14467,28067,5962,10117
8x9,A*,6687,16682,1790,4120,1048,2363,267,601
8x9,XMM,12811,38512,3237,9203,1467,4171,426,1159
8x9,X-DFBnB,-,-,2876,10793,1432,5616,459,1614
8x9,BiX-DFBnB,-,-,339133,792086,59831,140047,9760,18510
9x9,A*,10522,31750,3686,10468,2021,5100,890,2055
9x9,XMM,23099,76463,7151,22604,2941,8953,1281,3803
9x9,X-DFBnB,-,-,5855,27783,3588,14751,1025,4511
9x9,BiX-DFBnB,-,-,1293748,3378411,265613,649262,44837,95370
