Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,48,174,90,194,120,1169,614,-,-
6x6,BiX-DFBnB,105,36,182,60,263,97,2013,673,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,85,60,162,104,340,224,7533,4663,-,-
6x7,BiX-DFBnB,127,53,193,81,442,208,8101,3400,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,131,93,978,657,1216,856,35500,22441,-,-
6x8,BiX-DFBnB,136,58,1687,634,1124,539,36400,15417,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,110,1059,725,1661,1231,26056,17972,-,-
7x7,BiX-DFBnB,161,82,1438,630,2802,1278,26984,12166,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,269,1186,1062,16928,13673,75606,57661,-,-
7x8,BiX-DFBnB,374,204,2565,1311,20328,9814,91256,43688,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2060,6526,5531,47121,43375,-,-,-,-
8x8,BiX-DFBnB,5413,2470,8452,4470,78745,44301,-,-,-,-
