Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,52,174,93,194,125,1169,654,-,-
6x6,BiX-DFBnB,107,53,151,90,252,146,1844,1045,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,85,62,162,116,340,229,7533,4407,-,-
6x7,BiX-DFBnB,123,77,198,124,457,318,8157,4981,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,131,96,978,652,1216,846,35500,21105,-,-
6x8,BiX-DFBnB,136,100,1593,1016,1105,842,36127,23268,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,108,1059,762,1661,1314,26056,18263,-,-
7x7,BiX-DFBnB,167,139,1432,1045,2694,2080,26013,19538,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,259,1186,1049,16928,13456,75606,61142,-,-
7x8,BiX-DFBnB,372,312,2578,2107,20448,16478,90906,74384,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2205,6526,5476,47121,40808,-,-,-,-
8x8,BiX-DFBnB,5102,4353,8508,7142,78490,70614,-,-,-,-
