Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,91,197,139,366,273,710,729,2136,-,-
7x7,XMM,82,277,164,548,282,1031,781,2787,-,-
7x7,X-DFBnB,-,-,-,-,-,-,-,-,-,-
7x7,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
7x8,A*,148,383,390,1102,652,2124,1475,4855,-,-
7x8,XMM,118,418,422,1479,636,2558,1470,6100,-,-
7x8,X-DFBnB,-,-,-,-,-,-,-,-,-,-
7x8,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
7x9,A*,224,695,396,1195,1414,5635,1536,5781,-,-
7x9,XMM,235,1002,384,1597,1264,6265,1354,6675,-,-
7x9,X-DFBnB,-,-,-,-,-,-,-,-,-,-
7x9,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
8x8,A*,204,546,490,1612,1619,5458,2704,10971,-,-
8x8,XMM,218,828,495,2143,1477,6565,2558,12418,-,-
8x8,X-DFBnB,-,-,-,-,-,-,-,-,-,-
8x8,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
8x9,A*,372,1145,1253,4455,2269,8830,8307,35688,-,-
8x9,XMM,387,1718,1337,6288,2414,11974,8587,47070,-,-
8x9,X-DFBnB,-,-,-,-,-,-,-,-,-,-
8x9,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
9x9,A*,1053,3646,2707,11225,5343,26503,15100,81790,-,-
9x9,XMM,1108,5474,2563,14025,5062,29994,14422,90991,-,-
9x9,X-DFBnB,-,-,-,-,-,-,-,-,-,-
9x9,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
