Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,140,297,230,546,422,1083,1148,3097,-,-
7x7,BiX-DFBnB,1188,1002,3162,3224,9222,10418,38778,43904,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,270,683,580,1777,1222,3597,2848,9228,-,-
7x8,BiX-DFBnB,2318,2001,11789,14077,31358,40656,90915,121504,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,461,1207,1223,3129,1855,7098,2577,9661,-,-
7x9,BiX-DFBnB,6430,7846,11570,12383,119502,171215,201954,295679,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,497,1297,684,2310,3099,9835,-,-,-,-
8x8,BiX-DFBnB,6314,6600,16721,19602,95886,130010,-,-,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,823,2716,2087,8045,-,-,-,-,-,-
8x9,BiX-DFBnB,10211,12027,56035,83098,-,-,-,-,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1800,7501,-,-,-,-,-,-,-,-
9x9,BiX-DFBnB,46128,60809,-,-,-,-,-,-,-,-
