Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,140,289,230,530,422,1037,1148,3115,-,-
7x7,BiX-DFBnB,50,187,65,282,96,480,239,1269,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,270,688,580,1709,1222,3522,2848,8987,-,-
7x8,BiX-DFBnB,344,668,221,1060,299,1528,662,3707,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,461,1201,1223,3132,1855,7400,2577,10215,-,-
7x9,BiX-DFBnB,172,774,384,1502,983,5420,1036,5989,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,497,1312,684,2335,3099,9621,5001,16843,-,-
8x8,BiX-DFBnB,114,605,293,1538,653,4085,1717,9948,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,823,2738,2087,7975,7378,26653,20295,86240,-,-
8x9,BiX-DFBnB,397,2172,957,5837,1817,10962,6635,46277,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1800,7355,8297,32181,11036,54297,-,-,-,-
9x9,BiX-DFBnB,604,4318,2299,14934,4166,30008,-,-,-,-
