Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,121,145,196,260,226,414,963,1530,-,-
7x7,XMM,119,236,206,411,354,748,1134,2482,-,-
7x7,X-DFBnB,140,309,230,554,422,1098,1148,3295,-,-
7x7,BiX-DFBnB,50,198,65,294,96,496,239,1312,-,-
7x8,A*,180,295,410,784,584,1216,2324,3940,-,-
7x8,XMM,167,397,638,1438,889,2107,2692,6425,-,-
7x8,X-DFBnB,270,724,580,1762,1222,3609,2848,9372,-,-
7x8,BiX-DFBnB,344,676,221,1081,299,1536,662,3807,-,-
7x9,A*,274,507,623,1174,1530,3351,1528,3509,-,-
7x9,XMM,368,885,686,1632,2274,6029,2261,6188,-,-
7x9,X-DFBnB,461,1224,1223,3249,1855,7264,2577,10216,-,-
7x9,BiX-DFBnB,172,803,384,1510,983,5290,1036,5952,-,-
8x8,A*,340,609,604,1200,2246,4114,3155,7022,-,-
8x8,XMM,306,772,759,1952,2533,6430,4809,13217,-,-
8x8,X-DFBnB,497,1417,684,2465,3099,10043,5001,17342,-,-
8x8,BiX-DFBnB,114,637,293,1595,653,4306,1717,10077,-,-
8x9,A*,500,973,1736,3714,4677,10807,15406,33004,-,-
8x9,XMM,627,1714,1951,5522,5851,17776,21514,61577,-,-
8x9,X-DFBnB,823,2708,2087,8217,7378,28528,20295,88182,-,-
8x9,BiX-DFBnB,397,2105,957,6201,1817,11747,6635,47320,-,-
9x9,A*,1581,3360,4712,10435,6784,18852,23272,66458,-,-
9x9,XMM,1833,5562,5273,15745,12079,38890,43143,143538,-,-
9x9,X-DFBnB,1800,7298,8297,31864,11036,53970,-,-,-,-
9x9,BiX-DFBnB,604,4353,2299,14912,4166,29511,-,-,-,-
