Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,56,174,100,194,120,1169,654,-,-
6x6,BiX-DFBnB,308,430,368,578,498,757,5130,8154,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,85,57,162,107,340,238,7533,4583,-,-
6x7,BiX-DFBnB,385,588,419,704,1262,2286,63120,121083,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,131,94,978,657,1216,846,35500,21493,-,-
6x8,BiX-DFBnB,267,457,5397,9766,2047,4083,308380,637224,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,114,1059,716,1661,1223,26056,17434,-,-
7x7,BiX-DFBnB,304,537,5070,9553,10301,20962,194238,411556,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,247,1186,996,16928,12797,75606,54442,-,-
7x8,BiX-DFBnB,1020,2107,9722,20825,165241,370323,788754,1810949,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,1941,6526,5523,47121,39939,-,-,-,-
8x8,BiX-DFBnB,27536,59561,62407,150406,991999,2388259,-,-,-,-
