Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,-,-,-,-,-,-,-,-,-,-
6x6,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,-,-,-,-,-,-,-,-,-,-
6x7,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,-,-,-,-,-,-,-,-,-,-
6x8,BiX-DFBnB,-,-,-,-,-,-,-,-,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,140,290,230,521,422,1054,1148,3160,-,-
7x7,BiX-DFBnB,228,1391,590,3837,1350,10140,8873,65588,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,270,670,580,1661,1222,3468,2848,8969,-,-
7x8,BiX-DFBnB,386,2867,3048,23413,7430,59729,29174,248566,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,497,1288,684,2306,3099,9166,5001,16544,-,-
8x8,BiX-DFBnB,959,7515,4251,37252,32001,271845,95620,878808,-,-
