Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,49,174,93,194,131,1168,597,-,-
6x6,BiX-DFBnB,52,38,91,60,132,102,1007,669,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,60,162,104,340,220,7532,4231,-,-
6x7,BiX-DFBnB,64,52,97,86,221,203,4050,3027,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,93,978,657,1216,848,35500,19792,-,-
6x8,BiX-DFBnB,68,58,844,632,562,537,18200,13890,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,110,1058,716,1661,1170,26056,16204,-,-
7x7,BiX-DFBnB,81,82,719,629,1401,1224,13492,10889,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,253,1185,1002,16928,13098,75606,52330,-,-
7x8,BiX-DFBnB,187,193,1282,1232,10164,9319,45628,39043,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2010,6525,5505,47121,41170,267658,260336,-,-
8x8,BiX-DFBnB,2707,2452,4226,4447,39372,42783,225468,234591,-,-
