Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,122,282,210,520,380,1013,1089,3070,-,-
7x7,BiX-DFBnB,94,256,121,363,193,621,476,1689,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,246,674,533,1660,1168,3420,2690,8738,-,-
7x8,BiX-DFBnB,194,509,400,1393,544,1946,1321,5021,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,404,1194,1085,3051,1818,7090,2517,9819,-,-
7x9,BiX-DFBnB,303,1036,738,2254,1579,6462,1960,8086,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,442,1329,666,2380,2950,10040,4640,17980,-,-
8x8,BiX-DFBnB,234,938,562,2137,1264,5564,3287,14414,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,720,2571,1937,7736,7117,27761,19675,89784,-,-
8x9,BiX-DFBnB,729,2862,1611,7271,3567,16162,9780,53943,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1731,7155,7860,31482,10704,52565,-,-,-,-
9x9,BiX-DFBnB,1247,5876,4431,20480,7960,40970,-,-,-,-
