Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,52,174,94,194,118,1168,658,-,-
6x6,BiX-DFBnB,170,190,243,287,417,518,2718,3221,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,58,162,104,340,224,7532,4548,-,-
6x7,BiX-DFBnB,216,308,427,556,1050,1495,12930,16716,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,101,978,670,1216,865,35500,22357,-,-
6x8,BiX-DFBnB,280,395,3162,4468,2505,3918,58905,79689,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,105,1058,761,1661,1254,26056,18117,-,-
7x7,BiX-DFBnB,347,544,2178,3171,5557,8601,58056,85945,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,246,1185,1017,16928,13313,75606,59421,-,-
7x8,BiX-DFBnB,734,1193,4655,7690,39215,60927,174201,275332,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,2061,6525,5980,47121,42366,267658,267158,-,-
8x8,BiX-DFBnB,10632,18258,17171,32722,156085,278222,1006137,1859637,-,-
