Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,122,297,210,556,380,1074,1089,3262,-,-
7x7,BiX-DFBnB,94,263,121,396,193,658,476,1782,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,246,705,533,1709,1168,3759,2690,9386,-,-
7x8,BiX-DFBnB,194,526,400,1454,544,2157,1321,5390,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,404,1300,1085,3270,1818,7744,2517,10444,-,-
7x9,BiX-DFBnB,303,1135,738,2375,1579,7288,1960,8472,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,442,1430,666,2513,2950,10576,4640,18811,-,-
8x8,BiX-DFBnB,234,980,562,2275,1264,5879,3287,14995,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,720,2731,1937,8108,7117,29289,19675,89183,-,-
8x9,BiX-DFBnB,729,3028,1611,7522,3567,16812,9780,52598,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1731,7041,7860,31406,10704,53430,-,-,-,-
9x9,BiX-DFBnB,1247,5712,4431,20166,7960,41122,-,-,-,-
