Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,50,57,90,90,98,128,603,682,-,-
6x6,BiX-DFBnB,52,35,91,55,132,95,1007,685,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,39,56,79,108,162,216,3789,4467,-,-
6x7,BiX-DFBnB,62,53,95,81,220,208,4049,3284,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,63,96,489,679,598,826,18294,22297,-,-
6x8,BiX-DFBnB,68,62,844,639,562,557,18200,15628,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,76,107,521,737,820,1214,13396,17779,-,-
7x7,BiX-DFBnB,81,80,719,669,1401,1298,13492,11891,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,148,254,594,1009,8410,12014,36608,57966,-,-
7x8,BiX-DFBnB,185,193,1281,1239,10162,9705,45627,47618,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,1135,1825,3329,5638,23581,37047,-,-,-,-
8x8,BiX-DFBnB,2707,2457,4226,4611,39372,40564,-,-,-,-
