Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,132,280,218,507,406,1008,1120,3003,-,-
7x7,BiX-DFBnB,303,1056,254,1154,846,2876,1635,7786,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,260,684,558,1522,1193,3489,2744,8367,-,-
7x8,BiX-DFBnB,751,2279,2663,8699,1555,8177,4427,24421,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,452,1194,1137,2910,1828,7154,2526,9950,-,-
7x9,BiX-DFBnB,750,3728,3846,12340,3606,24352,4518,32256,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,483,1299,673,2309,3031,9362,4878,16703,-,-
8x8,BiX-DFBnB,693,3670,1175,7261,4218,24800,11657,59668,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,777,2584,1993,7816,7143,27092,20091,78777,-,-
8x9,BiX-DFBnB,2348,11614,6592,38904,13118,93407,28318,209250,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1753,7051,8206,31284,10838,51925,-,-,-,-
9x9,BiX-DFBnB,7070,37461,14446,104327,15222,135011,-,-,-,-
