Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,XDFBnB,34,68,56,112,65,177,395,962,-,-
6x6,BiXDFBnB,44,113,50,198,85,360,639,2566,-,-
6x6,XIDA,-,-,-,-,-,-,-,-,-,-
6x6,BiXIDA,-,-,-,-,-,-,-,-,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,XDFBnB,28,76,54,129,113,288,2488,5472,-,-
6x7,BiXDFBnB,46,187,69,273,168,785,3006,11990,-,-
6x7,XIDA,-,-,-,-,-,-,-,-,-,-
6x7,BiXIDA,-,-,-,-,-,-,-,-,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,XDFBnB,40,108,309,755,410,1100,11867,26682,-,-
6x8,BiXDFBnB,46,186,535,2037,377,1939,12182,51054,-,-
6x8,XIDA,-,-,-,-,-,-,-,-,-,-
6x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,XDFBnB,50,133,354,896,554,1627,8937,21424,-,-
7x7,BiXDFBnB,63,315,494,2320,887,4496,10223,43703,-,-
7x7,XIDA,-,-,-,-,-,-,-,-,-,-
7x7,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,XDFBnB,98,330,397,1245,5639,14625,25307,71114,-,-
7x8,BiXDFBnB,127,694,885,4392,7627,33036,30530,151282,-,-
7x8,XIDA,-,-,-,-,-,-,-,-,-,-
7x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,XDFBnB,783,2483,2188,6472,15560,50491,88460,338147,-,-
8x8,BiXDFBnB,1879,8591,3342,16001,29533,163459,159236,867782,-,-
8x8,XIDA,-,-,-,-,-,-,-,-,-,-
8x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
