Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,XDFBnB,97,264,113,404,153,758,825,3076,-,-
7x7,BiXDFBnB,50,188,65,283,96,487,239,1265,-,-
7x7,XIDA,-,-,-,-,-,-,-,-,-,-
7x7,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,XDFBnB,116,496,267,1339,475,2470,1316,7105,-,-
7x8,BiXDFBnB,344,642,221,1067,299,1530,662,3639,-,-
7x8,XIDA,-,-,-,-,-,-,-,-,-,-
7x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,XDFBnB,214,946,1140,3194,979,6315,1556,9790,-,-
7x9,BiXDFBnB,172,795,384,1479,983,4989,1036,5795,-,-
7x9,XIDA,-,-,-,-,-,-,-,-,-,-
7x9,BiXIDA,-,-,-,-,-,-,-,-,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,XDFBnB,399,1154,363,1909,1667,8600,2667,16529,-,-
8x8,BiXDFBnB,114,629,293,1552,653,4305,1717,10472,-,-
8x8,XIDA,-,-,-,-,-,-,-,-,-,-
8x8,BiXIDA,-,-,-,-,-,-,-,-,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,XDFBnB,343,2002,1113,7110,3422,21518,9804,70777,-,-
8x9,BiXDFBnB,397,2079,957,6028,1817,11505,6635,45575,-,-
8x9,XIDA,-,-,-,-,-,-,-,-,-,-
8x9,BiXIDA,-,-,-,-,-,-,-,-,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,XDFBnB,977,6721,3859,24648,5055,42548,22354,158658,-,-
9x9,BiXDFBnB,604,4711,2299,14375,4166,28976,10840,91817,-,-
9x9,XIDA,-,-,-,-,-,-,-,-,-,-
9x9,BiXIDA,-,-,-,-,-,-,-,-,-,-
