Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,XDFBnB,-,-,-,-,-,-,-,-,-,-
6x6,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
6x6,XIDA,41,89,70,190,68,180,441,976,-,-
6x6,BiXIDA,45,151,59,292,86,370,733,2769,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,XDFBnB,-,-,-,-,-,-,-,-,-,-
6x7,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
6x7,XIDA,38,109,64,176,139,381,2610,6068,-,-
6x7,BiXIDA,58,268,83,351,199,990,3248,13966,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,XDFBnB,-,-,-,-,-,-,-,-,-,-
6x8,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
6x8,XIDA,66,194,384,1033,418,1174,12677,29512,-,-
6x8,BiXIDA,58,275,690,3103,408,2194,13372,59945,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,XDFBnB,-,-,-,-,-,-,-,-,-,-
7x7,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
7x7,XIDA,59,211,404,1075,567,1665,10401,25605,-,-
7x7,BiXIDA,67,459,567,2744,883,4450,11600,52450,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,XDFBnB,-,-,-,-,-,-,-,-,-,-
7x8,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
7x8,XIDA,115,390,490,1652,6466,18484,26474,77354,-,-
7x8,BiXIDA,137,771,1152,6138,8689,41313,32617,166207,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,XDFBnB,-,-,-,-,-,-,-,-,-,-
8x8,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
8x8,XIDA,868,2881,2796,8945,17929,56906,96926,349820,-,-
8x8,BiXIDA,2643,13656,3833,19566,36336,203306,157927,849797,-,-
