Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,XDFBnB,-,-,-,-,-,-,-,-,-,-
7x7,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
7x7,XIDA,257,726,417,1182,495,1646,2015,6503,-,-
7x7,BiXIDA,19664,42705,61471,128253,184714,383149,633320,1345755,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,XDFBnB,-,-,-,-,-,-,-,-,-,-
7x8,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
7x8,XIDA,497,1631,1435,5675,1553,5894,5201,18948,-,-
7x8,BiXIDA,29579,67151,3218,21740,918620,1974347,2217327,5019097,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,XDFBnB,-,-,-,-,-,-,-,-,-,-
7x9,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
7x9,XIDA,723,2641,2151,7970,3402,14736,-,-,-,-
7x9,BiXIDA,98568,233218,172977,421266,2234124,5165270,-,-,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,XDFBnB,-,-,-,-,-,-,-,-,-,-
8x8,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
8x8,XIDA,939,3369,1632,6500,5264,23128,-,-,-,-
8x8,BiXIDA,515549,1067650,460147,1051035,1099530,2833770,-,-,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,XDFBnB,-,-,-,-,-,-,-,-,-,-
8x9,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
8x9,XIDA,1635,7354,-,-,-,-,-,-,-,-
8x9,BiXIDA,4887,37162,-,-,-,-,-,-,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,XDFBnB,-,-,-,-,-,-,-,-,-,-
9x9,BiXDFBnB,-,-,-,-,-,-,-,-,-,-
9x9,XIDA,4902,23522,-,-,-,-,-,-,-,-
9x9,BiXIDA,8563,82475,-,-,-,-,-,-,-,-
