Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,XIDA,32,112,59,226,52,256,342,1326,,
6x6,BiXIDA,472,376,159,294,266,458,2103,3625,,
6x7,XIDA,34,152,46,214,99,465,1992,8083,,
6x7,BiXIDA,106,196,218,440,557,1143,11304,19510,,
6x8,XIDA,50,262,299,1336,308,1578,9623,40787,,
6x8,BiXIDA,114,257,1509,2731,2241,4748,48435,96754,,
7x7,XIDA,44,223,300,1322,416,2204,7870,34127,,
7x7,BiXIDA,283,509,1658,3147,3790,8046,51132,99024,,
7x8,XIDA,87,537,367,2284,4842,23050,19141,95840,,
7x8,BiXIDA,427,948,2703,6815,29024,57651,159771,329840,,
8x8,XIDA,619,3450,2115,12165,13724,74740,,,,
8x8,BiXIDA,6065,11468,9929,26092,108768,268432,,,,
