Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,,,,,,,,,,
7x7,XMM,,,,,,,,,,
7x7,XDFBnB,,,,,,,,,,
7x7,BiXDFBnB,,,,,,,,,,
7x7,XIDA,63,690,98,1130,132,2088,558,9650,,
7x7,BiXIDA,71,729,101,1127,135,1905,426,7113,,
7x8,A*,,,,,,,,,,
7x8,XMM,,,,,,,,,,
7x8,XDFBnB,,,,,,,,,,
7x8,BiXDFBnB,,,,,,,,,,
7x8,XIDA,117,1306,350,5599,371,7396,1322,19472,,
7x8,BiXIDA,119,1514,369,5459,409,6854,1139,17716,,
7x9,A*,,,,,,,,,,
7x9,XMM,,,,,,,,,,
7x9,XDFBnB,,,,,,,,,,
7x9,BiXDFBnB,,,,,,,,,,
7x9,XIDA,176,2550,561,7725,906,20194,839,19051,,
7x9,BiXIDA,229,2623,468,5767,1373,24548,1197,22010,,
8x8,A*,,,,,,,,,,
8x8,XMM,,,,,,,,,,
8x8,XDFBnB,,,,,,,,,,
8x8,BiXDFBnB,,,,,,,,,,
8x8,XIDA,239,3153,460,7369,1340,22627,1878,42854,,
8x8,BiXIDA,218,3072,515,8237,1173,23178,2102,42298,,
8x9,A*,,,,,,,,,,
8x9,XMM,,,,,,,,,,
8x9,XDFBnB,,,,,,,,,,
8x9,BiXDFBnB,,,,,,,,,,
8x9,XIDA,392,8902,1336,24960,3371,83263,8558,218230,,
8x9,BiXIDA,684,10387,1726,33765,3009,57654,8841,238461,,
9x9,A*,,,,,,,,,,
9x9,XMM,,,,,,,,,,
9x9,XDFBnB,,,,,,,,,,
9x9,BiXDFBnB,,,,,,,,,,
9x9,XIDA,1366,25682,3272,67163,4221,124575,13239,369672,,
9x9,BiXIDA,2165,27059,2984,58123,4483,104763,15517,350554,,
