=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,1,A*,,,,,,,,,,
6x6,1,XMM,,,,,,,,,,
6x6,1,XDFBnB,,,,,,,,,,
6x6,1,BiXDFBnB,,,,,,,,,,
6x6,1,XIDA,115,71,218,134,203,130,1307,767,,
6x6,1,BiXIDA,544,503,866,885,1383,1454,10996,11707,,
6x6,2,A*,,,,,,,,,,
6x6,2,XMM,,,,,,,,,,
6x6,2,XDFBnB,,,,,,,,,,
6x6,2,BiXDFBnB,,,,,,,,,,
6x6,2,XIDA,59,76,114,135,104,141,676,723,,
6x6,2,BiXIDA,209,108,373,206,540,315,4517,2348,,
6x6,3,A*,,,,,,,,,,
6x6,3,XMM,,,,,,,,,,
6x6,3,XDFBnB,,,,,,,,,,
6x6,3,BiXDFBnB,,,,,,,,,,
6x6,3,XIDA,41,80,70,156,68,179,441,939,,
6x6,3,BiXIDA,158,327,252,593,390,1033,3036,7741,,
6x6,4,A*,,,,,,,,,,
6x6,4,XMM,,,,,,,,,,
6x6,4,XDFBnB,,,,,,,,,,
6x6,4,BiXDFBnB,,,,,,,,,,
6x6,4,XIDA,32,112,59,226,52,256,342,1326,,
6x6,4,BiXIDA,472,376,159,294,266,458,2103,3625,,
6x7,1,A*,,,,,,,,,,
6x7,1,XMM,,,,,,,,,,
6x7,1,XDFBnB,,,,,,,,,,
6x7,1,BiXDFBnB,,,,,,,,,,
6x7,1,XIDA,126,103,195,142,415,264,7894,4703,,
6x7,1,BiXIDA,755,962,1374,1686,3556,4328,58452,63818,,
6x7,2,A*,,,,,,,,,,
6x7,2,XMM,,,,,,,,,,
6x7,2,XDFBnB,,,,,,,,,,
6x7,2,BiXDFBnB,,,,,,,,,,
6x7,2,XIDA,60,98,96,135,202,280,3974,4819,,
6x7,2,BiXIDA,225,151,442,294,1037,768,24067,14175,,
6x7,3,A*,,,,,,,,,,
6x7,3,XMM,,,,,,,,,,
6x7,3,XDFBnB,,,,,,,,,,
6x7,3,BiXDFBnB,,,,,,,,,,
6x7,3,XIDA,38,113,64,167,139,368,2610,6114,,
6x7,3,BiXIDA,151,523,318,978,742,2607,15672,46352,,
6x7,4,A*,,,,,,,,,,
6x7,4,XMM,,,,,,,,,,
6x7,4,XDFBnB,,,,,,,,,,
6x7,4,BiXDFBnB,,,,,,,,,,
6x7,4,XIDA,34,152,46,214,99,465,1992,8083,,
6x7,4,BiXIDA,106,196,218,440,557,1143,11304,19510,,
6x8,1,A*,,,,,,,,,,
6x8,1,XMM,,,,,,,,,,
6x8,1,XDFBnB,,,,,,,,,,
6x8,1,BiXDFBnB,,,,,,,,,,
6x8,1,XIDA,204,171,1179,846,1308,890,37942,23068,,
6x8,1,BiXIDA,832,1175,10118,13728,13536,18034,258668,302069,,
6x8,2,A*,,,,,,,,,,
6x8,2,XMM,,,,,,,,,,
6x8,2,XDFBnB,,,,,,,,,,
6x8,2,BiXDFBnB,,,,,,,,,,
6x8,2,XIDA,102,170,604,811,638,922,19572,24423,,
