--- LSP Grids ---
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,1,96,53,172,97,193,134,1167,633
6x6,XDFBnB,2,50,55,90,97,98,126,603,672
6x6,XDFBnB,3,34,74,56,109,65,162,395,810
6x6,XDFBnB,4,27,83,47,149,49,234,306,1123
6x6,BiXDFBnB,1,163,179,240,302,407,538,2659,3266
6x6,BiXDFBnB,2,52,34,91,59,132,95,1007,677
6x6,BiXDFBnB,3,44,122,50,196,85,340,639,2189
6x6,BiXDFBnB,4,26,56,40,86,66,160,501,1109
6x6,XIDA,1,115,71,218,134,203,130,1307,767
6x6,XIDA,2,59,76,114,135,104,141,676,723
6x6,XIDA,3,41,80,70,156,68,179,441,939
6x6,XIDA,4,32,112,59,226,52,256,342,1326
6x6,BiXIDA,1,544,503,866,885,1383,1454,10996,11707
6x6,BiXIDA,2,209,108,373,206,540,315,4517,2348
6x6,BiXIDA,3,158,327,252,593,390,1033,3036,7741
6x6,BiXIDA,4,472,376,159,294,266,458,2103,3625
6x7,XDFBnB,1,81,55,161,107,339,232,7531,4768
6x7,XDFBnB,2,39,57,79,106,162,216,3789,4760
6x7,XDFBnB,3,28,75,54,132,113,282,2488,5836
6x7,XDFBnB,4,24,91,38,153,80,347,1902,8186
6x7,BiXDFBnB,1,213,305,425,563,1050,1542,12644,17515
6x7,BiXDFBnB,2,62,53,95,79,220,207,4049,3499
6x7,BiXDFBnB,3,46,186,69,279,168,769,3006,12705
6x7,BiXDFBnB,4,30,78,48,133,111,337,2070,5490
6x7,XIDA,1,126,103,195,142,415,264,7894,4703
6x7,XIDA,2,60,98,96,135,202,280,3974,4819
6x7,XIDA,3,38,113,64,167,139,368,2610,6114
6x7,XIDA,4,34,152,46,214,99,465,1992,8083
6x7,BiXIDA,1,755,962,1374,1686,3556,4328,58452,63818
6x7,BiXIDA,2,225,151,442,294,1037,768,24067,14175
6x7,BiXIDA,3,151,523,318,978,742,2607,15672,46352
6x7,BiXIDA,4,106,196,218,440,557,1143,11304,19510
6x8,XDFBnB,1,126,97,976,655,1214,850,35499,21338
6x8,XDFBnB,2,63,95,489,906,598,818,18294,21926
6x8,XDFBnB,3,40,108,309,823,410,1093,11867,27652
6x8,XDFBnB,4,29,148,236,986,305,1425,8973,36056
6x8,BiXDFBnB,1,277,408,3174,4422,2466,3950,57707,79356
6x8,BiXDFBnB,2,68,61,844,809,562,548,18200,15259
6x8,BiXDFBnB,3,46,187,535,2259,377,1927,12182,54119
6x8,BiXDFBnB,4,35,86,399,858,288,903,9485,25686
6x8,XIDA,1,204,171,1179,846,1308,890,37942,23068
6x8,XIDA,2,102,170,604,811,638,922,19572,24423
6x8,XIDA,3,66,194,384,1003,418,1186,12677,28764
6x8,XIDA,4,50,262,299,1336,308,1578,9623,40787
6x8,BiXIDA,1,832,1175,10118,13728,13536,18034,258668,302069
6x8,BiXIDA,2,218,179,3185,1922,4435,3282,98465,65854
6x8,BiXIDA,3,172,584,2255,6511,3140,10685,75312,216571
6x8,BiXIDA,4,114,257,1509,2731,2241,4748,48435,96754
7x7,XDFBnB,1,153,112,1056,739,1659,1340,26054,17666
7x7,XDFBnB,2,76,144,521,715,820,1231,13396,18079
7x7,XDFBnB,3,50,134,354,907,554,1612,8937,26764
7x7,XDFBnB,4,39,200,260,1198,408,2124,6716,31315
7x7,BiXDFBnB,1,344,544,2154,3142,5356,8922,57303,88838
7x7,BiXDFBnB,2,81,96,719,653,1401,1309,13492,12218
7x7,BiXDFBnB,3,63,314,494,2273,887,4444,10223,51804
7x7,BiXDFBnB,4,39,126,353,963,686,2020,6880,19655
7x7,XIDA,1,173,135,1208,889,1693,1286,30447,20839
