Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,226,180,426,225,670,928,2632
7x7,BiXA*,115,266,148,442,219,730,756,2384
7x8,XA*,171,463,401,1344,579,1958,2210,7054
7x8,BiXA*,198,532,490,1624,580,2031,1810,6379
7x9,XA*,266,875,615,1990,1512,5762,1497,5950
7x9,BiXA*,386,1245,747,2024,2211,8420,2121,8548
8x8,XA*,325,1056,596,2023,2192,7441,3073,12388
8x8,BiXA*,307,1112,594,2127,1797,7484,3105,13622
8x9,XA*,457,1704,1641,6512,4566,18866,15001,67664
8x9,BiXA*,814,2900,1819,8758,4857,19652,13267,66036
9x9,XA*,1537,6337,4647,19818,6647,30956,23043,118284
9x9,BiXA*,1707,7105,4504,20062,8359,39508,26568,149473
