Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,249,180,415,225,690,928,2812
7x7,BiXA*,33,248,49,439,70,872,207,2445
7x8,XA*,171,463,401,1319,579,1938,2210,7202
7x8,BiXA*,45,482,120,1558,156,2094,492,6794
7x9,XA*,266,861,615,2079,1512,5684,1497,6000
7x9,BiXA*,105,1181,197,1834,590,9323,582,9153
8x8,XA*,325,1029,596,2031,2192,7278,3073,12096
8x8,BiXA*,93,1110,154,2121,534,8627,847,16054
8x9,XA*,457,1695,1641,6832,4566,18128,15001,68767
8x9,BiXA*,224,2534,522,9798,1393,19207,3455,79984
9x9,XA*,1537,6266,4647,19860,6647,31640,23043,115801
9x9,BiXA*,577,7169,1244,21102,2127,42004,7385,162259
