Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,1,1204,1,2786,1,10382,1,43995
7x7,BiXDFBnB,142,360,177,503,387,1089,981,3042
7x8,XDFBnB,1,2390,1,16344,1,43879,1,147217
7x8,BiXDFBnB,664,1178,648,2009,917,3101,2505,9217
7x9,XDFBnB,1,9966,1,24257,1,197948,1,484470
7x9,BiXDFBnB,484,1541,1147,3193,2777,11159,4112,16739
8x8,XDFBnB,1,9426,1,22243,1,201842,1,701923
8x8,BiXDFBnB,361,1303,941,3091,2146,9197,6149,26451
8x9,XDFBnB,1,19843,1,170163,1,860089,,
8x9,BiXDFBnB,1062,3908,2595,11435,6082,26720,,
9x9,XDFBnB,1,76113,1,934750,,,,
9x9,BiXDFBnB,1986,8600,8307,36753,,,,
