Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,45,218,74,408,115,804,449,3117
7x7,BiXDFBnB,74,684,79,993,131,1992,556,6780
7x8,XDFBnB,118,560,177,1411,299,2611,897,8315
7x8,BiXDFBnB,333,1644,349,4838,397,6178,1340,18225
7x9,XDFBnB,152,1057,467,2380,664,7147,754,8285
7x9,BiXDFBnB,221,3022,537,5032,1389,22255,1716,29219
8x8,XDFBnB,112,885,252,2008,1086,8723,2327,20165
8x8,BiXDFBnB,203,2682,352,5324,974,18215,2826,48367
8x9,XDFBnB,349,2293,946,8108,2579,26282,6846,82021
8x9,BiXDFBnB,449,6672,1329,23724,2721,54340,9427,202951
9x9,XDFBnB,690,6665,2445,25839,3678,49508,12184,168924
9x9,BiXDFBnB,1821,19378,3472,62671,7422,150733,16449,418615
