Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,115,67,218,135,203,124,1307,704
6x6,BiXIDA,173,210,317,403,407,504,3127,3793
6x7,XIDA,126,93,195,132,415,282,7894,4868
6x7,BiXIDA,301,461,543,765,1290,1951,14120,19318
6x8,XIDA,204,166,1179,841,1308,904,37942,24304
6x8,BiXIDA,353,568,4355,6484,2693,4384,62502,90941
7x7,XIDA,173,135,1208,870,1693,1312,30447,21096
7x7,BiXIDA,353,599,2589,4004,5894,9499,70147,109789
7x8,XIDA,339,298,1464,1323,19465,15818,79139,60178
7x8,BiXIDA,803,1428,6331,11164,46456,77581,195853,324044
8x8,XIDA,2606,2245,8354,7581,54007,47703,293095,269303
8x8,BiXIDA,16723,29644,21993,43179,193566,367530,959812,1779984
