Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,257,732,417,1160,495,1644,2015,6527
7x7,BiXIDA,289,875,361,1210,462,1688,1553,5711
7x8,XIDA,497,1613,1435,5214,1553,6076,5201,18926
7x8,BiXIDA,559,1880,1496,5674,1481,6116,4199,17201
7x9,XIDA,723,2648,2151,8190,3402,14700,3565,15521
7x9,BiXIDA,846,3149,1908,6930,4986,21060,4518,19986
8x8,XIDA,939,3407,1632,6470,5264,20652,7364,32914
8x8,BiXIDA,856,3511,2006,8402,4235,19530,7902,37792
8x9,XIDA,1635,7204,4879,22524,14922,68706,35116,165959
8x9,BiXIDA,2552,11213,5977,30568,11578,55574,31771,168412
9x9,XIDA,4902,23554,12902,62277,16436,91340,52814,304152
9x9,BiXIDA,4701,24110,10808,57823,20443,110987,55717,332733
