Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,84,656,141,1084,168,1563,694,6950
7x7,BiXIDA,124,1729,158,2648,213,4068,794,14980
7x8,XIDA,207,1397,481,4904,497,5931,1735,18633
7x8,BiXIDA,799,5505,836,15606,620,13448,1990,40529
7x9,XIDA,247,2570,755,7033,1205,15978,1102,15361
7x9,BiXIDA,388,7089,852,14039,2159,47747,2030,48994
8x8,XIDA,286,2750,594,6365,1735,18860,2550,36660
8x8,BiXIDA,383,7293,905,17901,1818,45310,3557,95032
8x9,XIDA,558,6745,1717,22841,4862,68101,11654,167698
8x9,BiXIDA,1168,26175,2831,75459,5609,139563,14311,429902
9x9,XIDA,1752,21492,4459,56619,5688,95004,17656,295884
9x9,BiXIDA,2068,56256,5013,131669,8088,228683,24754,747139
