Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,119,353,203,633,347,1180,1119,3982
7x7,XA*,112,242,180,419,225,688,928,2874
7x8,XMM,167,607,615,2233,878,3360,2625,11065
7x8,XA*,171,489,401,1314,579,2053,2210,7705
7x9,XMM,366,1400,681,2620,2243,9952,2220,10165
7x9,XA*,266,847,615,2080,1512,6139,1497,6195
8x8,XMM,304,1220,755,3099,2479,10738,4726,21810
8x8,XA*,325,1033,596,2000,2192,7755,3073,12938
8x9,XMM,627,2822,1917,9302,5799,30048,21219,118827
8x9,XA*,457,1739,1641,6642,4566,20020,15001,71006
9x9,XMM,1833,9404,5265,26965,11898,69525,42514,246050
9x9,XA*,1537,6409,4647,20528,6647,35468,23043,118436
