Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XMM,119,354,203,632,347,1160,1119,3897
7x7,XA*,112,240,180,418,225,677,928,2694
7x8,XMM,167,604,615,2224,878,3585,2625,10603
7x8,XA*,171,485,401,1312,579,2196,2210,7404
7x9,XMM,366,1402,681,2678,2243,10058,2220,10027
7x9,XA*,266,855,615,2100,1512,6172,1497,6116
8x8,XMM,304,1284,755,3076,2479,10693,4726,22593
8x8,XA*,325,1059,596,1974,2192,7795,3073,13050
8x9,XMM,627,2871,1917,9237,5799,29911,21219,118054
8x9,XA*,457,1750,1641,6611,4566,19967,15001,70616
9x9,XMM,1833,9400,5265,26779,11898,66819,42514,246803
9x9,XA*,1537,6487,4647,20413,6647,33846,23043,119162
