Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XA*,96,73,170,147,171,164,1071,1000
6x6,BiXA*,90,44,148,86,230,131,1827,1159
6x7,XA*,82,72,152,152,312,348,6056,6054
6x7,BiXA*,116,81,178,128,428,344,8060,5593
6x8,XA*,114,168,846,2344,1108,1080,24910,22180
6x8,BiXA*,112,122,1552,2111,1086,816,35487,25716
7x7,XA*,141,151,874,858,1585,2556,19676,26569
7x7,BiXA*,140,120,1364,1022,2604,2091,25996,23519
7x8,XA*,274,303,974,1221,13791,15958,62237,58337
7x8,BiXA*,360,284,2543,2012,20400,17993,90889,69573
8x8,XA*,2126,4282,4846,5969,31408,40697,,
8x8,BiXA*,5083,5103,7499,6923,78346,82679,,
