Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XA*,96,73,170,119,171,165,1071,1184
6x6,BiXA*,25,57,40,96,63,152,499,1494
6x7,XA*,82,76,152,147,312,333,6056,6027
6x7,BiXA*,30,86,45,124,109,378,2050,6473
6x8,XA*,114,185,846,1333,1108,2140,24910,22342
6x8,BiXA*,31,81,395,1296,286,1536,9369,29475
7x7,XA*,141,158,874,938,1585,1808,19676,25303
7x7,BiXA*,35,150,346,1068,672,2233,6877,25419
7x8,XA*,274,298,974,1167,13791,14146,62237,58050
7x8,BiXA*,90,299,634,2024,5038,16022,22878,71348
8x8,XA*,2126,4997,4846,6648,31408,37635,,
8x8,BiXA*,1361,4819,1978,7094,20191,81745,,
