Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,96,52,172,92,193,122,1167,1171
6x6,BiXDFBnB,106,52,149,88,250,143,1842,1922
6x7,XDFBnB,81,64,161,118,339,234,7531,4538
6x7,BiXDFBnB,121,79,196,127,454,324,8155,5133
6x8,XDFBnB,126,94,976,832,1214,867,35499,22475
6x8,BiXDFBnB,133,99,1591,1440,1103,864,36126,24716
7x7,XDFBnB,153,138,1056,991,1659,1256,26054,17991
7x7,BiXDFBnB,165,214,1430,1353,2692,2020,26012,19120
7x8,XDFBnB,291,412,1184,1050,16926,13181,75605,58168
7x8,BiXDFBnB,370,529,2576,2095,20446,15927,90905,71064
8x8,XDFBnB,2362,2406,6523,5698,47120,49891,267656,257373
8x8,BiXDFBnB,5100,4755,8506,7389,78488,79982,434507,377366
