Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,34,101,56,125,65,163,395,822
6x6,BiXDFBnB,44,131,50,239,85,343,639,2278
6x7,XDFBnB,28,76,54,132,113,292,2488,7034
6x7,BiXDFBnB,46,188,69,288,168,813,3006,15770
6x8,XDFBnB,40,138,309,794,410,1120,11867,44226
6x8,BiXDFBnB,46,215,535,2141,377,2011,12182,84409
7x7,XDFBnB,50,196,354,914,554,1664,8937,21957
7x7,BiXDFBnB,63,391,494,2296,887,4685,10223,45138
7x8,XDFBnB,98,535,397,1284,5639,18734,25307,74501
7x8,BiXDFBnB,127,1047,885,4561,7627,41260,30530,157547
8x8,XDFBnB,783,2930,2188,6628,15560,49736,88460,341733
8x8,BiXDFBnB,1879,10118,3342,16683,29533,161614,159236,908018
