Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,115,74,218,136,203,146,1307,767
6x6,BiXIDA,111,58,177,115,255,202,2137,1289
6x7,XIDA,126,94,195,133,415,308,7894,4886
6x7,BiXIDA,153,112,225,154,538,417,8866,5818
6x8,XIDA,204,217,1179,902,1308,935,37942,24323
6x8,BiXIDA,176,176,2001,1435,1186,948,39441,27440
7x7,XIDA,173,132,1208,1061,1693,1318,30447,29589
7x7,BiXIDA,179,156,1648,1385,2680,2063,29324,32014
7x8,XIDA,339,305,1464,1335,19465,23918,79139,63509
7x8,BiXIDA,402,351,3331,2800,23273,28903,96829,79061
8x8,XIDA,2606,2466,8354,7799,54007,51321,293095,285846
8x8,BiXIDA,7161,6413,10038,9156,96701,92484,428435,381166
