Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,115,146,178,208,262,829,1176
6x6,XA*,96,76,170,132,171,165,1071,901
6x7,XMM,93,123,228,272,357,472,2130,3631
6x7,XA*,82,81,152,154,312,308,6056,5515
6x8,XMM,148,194,920,1399,845,1420,9929,18737
6x8,XA*,114,120,846,869,1108,1180,24910,23585
7x7,XMM,158,216,816,1197,1880,2980,10199,18136
7x7,XA*,141,127,874,838,1585,1771,19676,21733
7x8,XMM,283,444,1830,3073,6722,12641,20298,45254
7x8,XA*,274,310,974,1243,13791,14913,62237,62390
8x8,XMM,2584,5019,3660,7095,16490,35526,,
8x8,XA*,2126,2672,4846,6290,31408,38202,,
