Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,124,146,194,208,254,829,1269
6x6,XA*,96,86,170,143,171,162,1071,967
6x7,XMM,93,124,228,277,357,460,2130,3677
6x7,XA*,82,80,152,157,312,300,6056,5484
6x8,XMM,148,194,920,1434,845,1359,9929,18590
6x8,XA*,114,119,846,888,1108,1124,24910,23000
7x7,XMM,158,218,816,1229,1880,3023,10199,18436
7x7,XA*,141,125,874,862,1585,1800,19676,22017
7x8,XMM,283,439,1830,3147,6722,12544,20298,45381
7x8,XA*,274,311,974,1267,13791,14826,62237,61884
8x8,XMM,2584,4970,3660,7059,16490,35791,,
8x8,XA*,2126,2636,4846,6223,31408,38693,,
