--- LSP Grids ---,,,,,,,,,,
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,-1,108,115,146,178,208,262,829,"1,176"
,XMM,1,108,118,146,180,208,256,829,"1,429"
,XMM,2,108,117,146,183,208,246,829,"1,139"
,XMM,3,108,124,146,194,208,254,829,"1,269"
,XMM,4,108,113,146,178,208,277,829,"1,119"
,XA*,-1,96,76,170,132,171,165,"1,071",901
,XA*,1,96,78,170,134,171,163,"1,071","1,015"
,XA*,2,96,80,170,136,171,155,"1,071",883
,XA*,3,96,86,170,143,171,162,"1,071",967
,XA*,4,96,75,170,134,171,171,"1,071",879
,BiXA*,-1,90,44,148,86,230,131,"1,827","1,159"
,BiXA*,1,133,149,237,282,354,449,"2,655","3,304"
,BiXA*,2,46,33,91,62,122,93,999,831
,BiXA*,3,39,112,50,208,80,339,638,"2,445"
,BiXA*,4,25,57,40,96,63,152,499,"1,494"
,XDFBnB,-1,96,52,172,92,193,122,"1,167","1,171"
,XDFBnB,1,96,52,172,153,193,131,"1,167",658
,XDFBnB,2,50,77,90,91,98,128,603,714
,XDFBnB,3,34,101,56,125,65,163,395,822
,XDFBnB,4,27,113,47,156,49,282,306,"2,309"
,BiXDFBnB,-1,106,52,149,88,250,143,"1,842","1,922"
,BiXDFBnB,1,163,177,240,502,407,545,"2,659","3,471"
,BiXDFBnB,2,52,41,91,55,132,96,"1,007",720
,BiXDFBnB,3,44,131,50,239,85,343,639,"2,278"
,BiXDFBnB,4,26,78,40,88,66,192,501,"2,421"
,XIDA*,-1,115,74,218,136,203,146,"1,307",767
,XIDA*,1,115,72,218,137,203,165,"1,307",760
,XIDA*,2,59,79,114,136,104,148,676,823
,XIDA*,3,41,90,70,176,68,179,441,980
,XIDA*,4,32,115,59,238,52,264,342,"1,397"
,BiXIDA*,-1,111,58,177,115,255,202,"2,137","1,289"
,BiXIDA*,1,173,214,317,414,407,620,"3,127","4,138"
,BiXIDA*,2,55,39,106,78,134,105,"1,155",874
,BiXIDA*,3,45,153,59,274,86,376,733,"2,818"
,BiXIDA*,4,27,72,47,129,69,184,584,"1,460"
6x7,XMM,-1,93,123,228,272,357,472,"2,130","3,631"
,XMM,1,93,122,228,273,357,453,"2,130","3,718"
,XMM,2,93,128,228,311,357,461,"2,130","3,768"
,XMM,3,93,124,228,277,357,460,"2,130","3,677"
,XMM,4,93,127,228,273,357,485,"2,130","3,683"
,XA*,-1,82,81,152,154,312,308,"6,056","5,515"
,XA*,1,82,80,152,151,312,297,"6,056","5,530"
,XA*,2,82,84,152,159,312,298,"6,056","5,622"
,XA*,3,82,80,152,157,312,300,"6,056","5,484"
,XA*,4,82,82,152,150,312,307,"6,056","5,533"
,BiXA*,-1,116,81,178,128,428,344,"8,060","5,593"
,BiXA*,1,203,311,408,547,"1,031","1,554","12,622","17,877"
