--- CIB ---
Dimension,Algorithm,Lookahead,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
7,BiXA*,-1,82805,2316151,,
7,BiXA*,1,82805,2300471,,
7,BiXA*,2,82805,2294243,,
7,BiXA*,3,82805,2285323,,
7,BiXA*,4,82805,2274893,,
7,XDFBnB,-1,1282664,13632308,,
7,XDFBnB,1,1282664,13754706,,
7,XDFBnB,2,58185,595324,,
7,XDFBnB,3,97479,5595564,,
7,XDFBnB,4,530899,5598703,,
7,BiXDFBnB,-1,26867,271954,,
7,BiXDFBnB,1,2595312,55587410,,
7,BiXDFBnB,2,5816,75866,,
7,BiXDFBnB,3,4815,361361,,
7,BiXDFBnB,4,543,16827,,
7,XIDA,-1,22299824,435287065,,
7,XIDA,1,22299824,436618371,,
7,XIDA,2,5830291,391059180,,
7,XIDA,3,2488194,557772050,,
7,XIDA,4,229864,221809873,,
7,BiXIDA,-1,19672176,360466437,,
7,BiXIDA,1,14113282,496303103,,
7,BiXIDA,2,10579508,435679001,,
7,BiXIDA,3,743918,256216066,,
7,BiXIDA,4,240983,139093099,,
