grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,005",100
0,t -> s,"2,005",98
0,XMM,981,87
0,s -> t,632,46
0,t -> s,"1,609",89
0,XMM,427,39
0,s -> t,961,53
0,t -> s,794,49
0,XMM,569,55
0,s -> t,766,49
0,t -> s,"1,093",89
0,XMM,687,67
0,s -> t,"1,060",64
0,t -> s,"1,140",64
0,XMM,536,53
0,s -> t,766,58
0,t -> s,"1,093",70
0,XMM,687,60
0,s -> t,"2,005",101
0,t -> s,"2,005",112
0,XMM,982,79
0,s -> t,"2,005",101
0,t -> s,"2,005",106
0,XMM,982,80
0,s -> t,"1,174",69
0,t -> s,"1,298",72
0,XMM,548,58
0,s -> t,961,60
0,t -> s,794,47
0,XMM,537,46
