grid number,Direction,Expansions,Time [ms]
0,s -> t,"24,167",524
0,t -> s,"25,747",641
0,XMM,"20,831","3,829"
0,s -> t,"19,537",394
0,t -> s,"5,959",118
0,XMM,"6,069",447
0,s -> t,"12,213",256
0,t -> s,"24,325",623
0,XMM,"13,981","1,425"
0,s -> t,"11,252",244
0,t -> s,"20,539",536
0,XMM,"6,673",410
0,s -> t,"52,124","1,199"
0,t -> s,"36,124",825
0,XMM,"33,402","5,244"
0,s -> t,"44,522","1,139"
0,t -> s,"27,416",644
0,XMM,"19,307","1,841"
0,s -> t,"65,465","1,540"
0,t -> s,"61,618","1,509"
0,XMM,"26,845","3,069"
0,s -> t,"9,818",203
0,t -> s,"1,753",39
0,XMM,"4,040",199
0,s -> t,"9,336",177
0,t -> s,"12,353",258
0,XMM,"17,502","1,641"
0,s -> t,"21,315",501
0,t -> s,"33,687",779
0,XMM,"16,003","1,324"
