grid number,Direction,Expansions,Time [ms]
0,s -> t,394,397
0,t -> s,232,236
0,XMM,221,241
0,s -> t,52,52
0,t -> s,"1,238","1,489"
0,XMM,751,886
0,s -> t,"2,428","3,028"
0,t -> s,"5,714","5,788"
0,XMM,"2,603","3,155"
0,s -> t,"7,299","8,235"
0,t -> s,"13,167","13,489"
0,XMM,"4,193","5,000"
0,s -> t,602,585
0,t -> s,"1,110","1,293"
0,XMM,301,382
0,s -> t,"1,978","1,990"
0,t -> s,"1,348","1,409"
0,XMM,"1,393","1,464"
0,s -> t,105,115
0,t -> s,67,80
0,XMM,266,323
0,s -> t,"15,020","17,177"
0,t -> s,"11,964","13,987"
0,XMM,"8,738","11,180"
0,s -> t,"1,436","1,426"
0,t -> s,275,311
0,XMM,973,"1,036"
0,s -> t,613,613
0,t -> s,321,374
0,XMM,457,469
